competition_name,competition_country,team,tm_club_id,tm_club_name,method,score,tm_scraped_players,scrape_status
China. CSL,China,Santiago Morning,,,no_mapping,0,0,no_mapping
China. CSL,China,Univ. Concepción,,,no_mapping,0,0,no_mapping
China. CSL,China,Unión San Felipe,,,no_mapping,0,0,no_mapping
Colombia. Liga BetPlay,Colombia,Alianza,18820,Alianza FC,dict,100,27,scraped
Colombia. Liga BetPlay,Colombia,América de Cali,2352,CD América,dict,100,26,scraped
Colombia. Liga BetPlay,Colombia,Atlético Bucaramanga,13,Atlético,dict,100,25,scraped
Colombia. Liga BetPlay,Colombia,Atlético Nacional,8172,Atl. Nacional,dict,100,26,scraped
Colombia. Liga BetPlay,Colombia,Boyacá Chicó,14649,Boyacá Chicó,dict,100,25,scraped
Colombia. Liga BetPlay,Colombia,Deportivo Cali,9961,Deportivo Cali,dict,100,25,scraped
Colombia. Liga BetPlay,Colombia,Deportivo Pasto,10090,Deportivo Pasto,dict,100,28,scraped
Colombia. Liga BetPlay,Colombia,Deportivo Pereira,9811,Pereira,dict,100,25,scraped
Colombia. Liga BetPlay,Colombia,Envigado,7136,Envigado,dict,100,27,scraped
